country,year,house_price,inflation
austria,2011,81.6,1.83363691560413
belgium,2011,95.61,1.80715115528592
bulgaria,2011,99.98,5.94192221843491
germany,2011,86.8,1.07993704889563
estonia,2011,69.32,5.39959624747656
spain,2011,124.27,-0.0201170814138388
finland,2011,96.87,2.62359670035704
france,2011,105.46,0.948142014284232
hungary,2011,90.45,1.92756405098791
ireland,2011,87.86,1.31597238311477
iceland,2011,75.36,3.09740900233359
italy,2011,119.7,1.60722827531225
lithuania,2011,89.77,5.34977603273792
luxembourg,2011,83.09,4.774
latvia,2011,88.73,6.37336042648889
malta,2011,89.8,1.12390162845077
netherlands,2011,109.19,0.194481711439058
norway,2011,81.95,6.71633706864385
poland,2011,105.7,3.27142026989216
portugal,2011,102.09,-0.265387146769708
sweden,2011,75.87,1.08898641393155
slovenia,2011,120.39,1.04000000000001
austria,2012,87.57,2.05428961689397
belgium,2012,97.75,1.96103292337601
bulgaria,2012,98.07,1.52670963456529
germany,2012,89.8,1.48824224202728
estonia,2012,74.37,4.02334463760605
spain,2012,105.9,-0.116702549347069
finland,2012,99.21,2.97315868116527
france,2012,104.88,1.16174148432214
hungary,2012,87.1,2.89023207559936
ireland,2012,76.04,2.58289503773154
iceland,2012,80.57,3.44071217725093
italy,2012,116.7,1.54728153409982
lithuania,2012,89.56,2.73485071179608
luxembourg,2012,86.58,2.55597762803749
latvia,2012,91.36,3.59833444227425
malta,2012,92.54,2.14609698531127
netherlands,2012,101.86,1.44799667843055
norway,2012,87.48,3.34307079775775
poland,2012,102.01,2.36125294375092
portugal,2012,94.87,-0.388496253405989
sweden,2012,76.83,1.00105069911903
slovenia,2012,112.09,0.479018210609654
austria,2013,92.1,1.62309726899012
belgium,2013,98.9,1.27150259067358
bulgaria,2013,95.92,-0.668561264337262
germany,2013,92.6,1.96474670955182
estonia,2013,82.29,4.04319383069059
spain,2013,96.24,0.399871074313577
finland,2013,100.35,2.55896963341912
france,2013,102.93,0.777425272909715
hungary,2013,84.87,2.82548415734155
ireland,2013,76.99,0.891672889800389
iceland,2013,85.21,2.12389180897381
italy,2013,109.1,1.14767271753241
lithuania,2013,90.65,1.2804398254596
luxembourg,2013,90.89,1.69564084428396
latvia,2013,97.62,1.63774796705858
malta,2013,92.16,2.27617130776592
netherlands,2013,95.75,1.2758991149537
norway,2013,91.24,2.55497953615279
poland,2013,97.54,0.294201482205393
portugal,2013,93.09,2.24924401893424
sweden,2013,80.79,0.927111436279673
slovenia,2013,106.21,1.60060675308302
austria,2014,95.33,2.17625354085441
belgium,2014,98.35,0.982328322776708
bulgaria,2014,97.29,0.461057138152471
germany,2014,95.5,1.8698183101076
estonia,2014,93.58,2.9491677163469
spain,2014,96.54,-0.220708474202188
finland,2014,100.0,1.63174255646553
france,2014,101.36,0.577313781103532
hungary,2014,88.43,3.70607233076456
ireland,2014,89.72,0.0386659154431629
iceland,2014,92.39,4.14177002683867
italy,2014,104.0,0.913628030148698
lithuania,2014,96.47,0.833417414993449
luxembourg,2014,94.88,2.73532587806798
latvia,2014,103.48,1.91711851278079
malta,2014,94.51,2.342729170254
netherlands,2014,96.53,0.25257117455699
norway,2014,93.74,0.290530617457389
poland,2014,98.5,0.521716182336756
portugal,2014,97.04,0.704343100781682
sweden,2014,88.4,1.74431116698947
slovenia,2014,99.2,0.455651533218935
austria,2015,100,2.30074372640689
belgium,2015,100,1.33046905874128
bulgaria,2015,100,2.44222258646124
germany,2015,100,1.85892538833716
estonia,2015,100,1.11836916294213
spain,2015,100,0.543942730170218
finland,2015,100,1.61672204778018
france,2015,100,1.13800000000001
hungary,2015,100,2.77914816641999
ireland,2015,100,7.80860039313559
iceland,2015,100,6.05466057205884
italy,2015,100,0.931598655591108
lithuania,2015,100,0.0640409862311809
luxembourg,2015,100,0.185279210425517
latvia,2015,100,0.00300009000270019
malta,2015,100,4.22011821696327
netherlands,2015,100,0.773943889068043
norway,2015,100,-2.85444455055762
poland,2015,100,0.974402988842332
portugal,2015,100,2.01938443019322
sweden,2015,100,2.12185645741259
slovenia,2015,100,1.00560707978267
austria,2016,108.53,1.848
belgium,2016,102.64,1.92100000000001
bulgaria,2016,107.02,2.538
germany,2016,107.5,1.328
estonia,2016,104.75,2.27
spain,2016,104.62,0.326999999999998
finland,2016,101.29,0.0870000000000033
france,2016,101.04,0.523047716980755
hungary,2016,113.38,1.352
ireland,2016,107.46,0.7180537772087
iceland,2016,109.77,2.261
italy,2016,100.3,1.134
lithuania,2016,105.4,1.57599999999999
luxembourg,2016,106.01,0.770865378630927
latvia,2016,108.49,0.861000000000004
malta,2016,105.45,1.46997601841692
netherlands,2016,105.02,0.454999999999998
norway,2016,107.88,-1.4746201487728
poland,2016,101.86,0.311999999999998
portugal,2016,107.12,1.71698266742616
sweden,2016,108.24,1.52507821612724
slovenia,2016,103.25,0.873295687983109
austria,2017,114.26,0.861087110203436
belgium,2017,106.37,1.82788630409827
bulgaria,2017,116.3,3.9419532270963
germany,2017,114.1,1.35105795041844
estonia,2017,110.51,3.11234966265768
spain,2017,111.1,1.29576285546263
finland,2017,102.39,0.81928722011849
france,2017,104.24,0.521309766197489
hungary,2017,127.24,3.98808114294735
ireland,2017,119.14,1.03634847344548
iceland,2017,131.2,0.936818532969557
italy,2017,99.2,0.726758557952815
lithuania,2017,114.8,4.24312829802316
luxembourg,2017,111.96,1.71610580740794
latvia,2017,118.01,2.97042464381673
malta,2017,111.03,2.23723386581398
netherlands,2017,112.93,1.26026579065254
norway,2017,113.75,3.95126331777515
poland,2017,105.78,1.85919929818966
portugal,2017,117.02,1.512
sweden,2017,115.43,2.13567839195979
slovenia,2017,111.79,1.4804641250296
austria,2018,119.64,1.71331224142128
belgium,2018,109.42,1.62549140522624
