geo,country,year,house_price_index,inflation,earning,price_to_income_ratio,real_hpi,price_to_real_income_ratio,hpi_growth,income_growth,region
AT,Austria,2011,81.6,1.83363691560413,26375.67,0.0,80.13069401383258,1.02,,,West Europe
BE,Belgium,2011,95.61,1.80715115528592,25519.86,0.0,93.91285279573982,1.02,,,West Europe
BG,Bulgaria,2011,99.98,5.94192221843491,3396.45,0.03,94.37246172847195,1.06,,,East Europe
DE,Germany,2011,86.8,1.07993704889563,26088.04,0.0,85.87262965746805,1.01,,,West Europe
EE,Estonia,2011,69.32,5.39959624747656,8324.26,0.01,65.76875288709621,1.05,,,
ES,Spain,2011,124.27,-0.0201170814138388,19891.57,0.01,124.29500452725408,1.0,,,South Europe
FI,Finland,2011,96.87,2.62359670035704,28421.92,0.0,94.39349537011792,1.03,,,North Europe
FR,France,2011,105.46,0.948142014284232,25576.25,0.0,104.46948095892377,1.01,,,West Europe
HU,Hungary,2011,90.45,1.92756405098791,6146.32,0.01,88.73948950134195,1.02,,,East Europe
IE,Ireland,2011,87.86,1.31597238311477,31159.23,0.0,86.71880448204895,1.01,,,
IS,Iceland,2011,75.36,3.09740900233359,24971.24,0.0,73.09592038175687,1.03,,,North Europe
IT,Italy,2011,119.7,1.60722827531225,19983.62,0.01,117.80657934656386,1.02,,,South Europe
LT,Lithuania,2011,89.77,5.34977603273792,5401.3,0.02,85.21138191324067,1.05,,,
LU,Luxembourg,2011,83.09,4.774,36278.25,0.0,79.30402580792946,1.05,,,
LV,Latvia,2011,88.73,6.37336042648889,5286.45,0.02,83.41374160245542,1.06,,,
MT,Malta,2011,89.8,1.12390162845077,15642.97,0.01,88.80195339964529,1.01,,,
NL,Netherlands,2011,109.19,0.194481711439058,31612.2,0.0,108.97805760847001,1.0,,,West Europe
NO,Norway,2011,81.95,6.71633706864385,44490.18,0.0,76.79236586548765,1.07,,,North Europe
PL,Poland,2011,105.7,3.27142026989216,7085.75,0.01,102.3516474584749,1.03,,,East Europe
PT,Portugal,2011,102.09,-0.265387146769708,12008.16,0.01,102.36165467472753,1.0,,,South Europe
SE,Sweden,2011,75.87,1.08898641393155,31319.63,0.0,75.05268644136291,1.01,,,North Europe
SI,Slovenia,2011,120.39,1.04000000000001,11567.85,0.01,119.15083135391922,1.01,,,
AT,Austria,2012,87.57,2.05428961689397,26893.06,0.0,85.80727015859188,1.02,7.316176470588243,1.9616184157596805,West Europe
BE,Belgium,2012,97.75,1.96103292337601,26287.51,0.0,95.8699585492228,1.02,2.2382595962765484,3.008049417198988,West Europe
BG,Bulgaria,2012,98.07,1.52670963456529,3598.45,0.03,96.5952706957535,1.02,-1.9103820764152957,5.947386241516872,East Europe
DE,Germany,2012,89.8,1.48824224202728,26729.62,0.0,88.48315629099834,1.01,3.4562211981566726,2.4592878575776522,West Europe
EE,Estonia,2012,74.37,4.02334463760605,8812.65,0.01,71.49356739017416,1.04,7.285054818234293,5.867068063707759,
ES,Spain,2012,105.9,-0.116702549347069,19975.06,0.01,106.02373239862212,1.0,-14.782328800193124,0.4197255420260948,South Europe
FI,Finland,2012,99.21,2.97315868116527,29246.92,0.0,96.34549553557241,1.03,2.4156085475379285,2.9026891920039155,North Europe
FR,France,2012,104.88,1.16174148432214,25978.92,0.0,103.67555803322554,1.01,-0.5499715531955274,1.574390303504214,West Europe
HU,Hungary,2012,87.1,2.89023207559936,6369.22,0.01,84.65332251948138,1.03,-3.703703703703709,3.6265602832263877,East Europe
IE,Ireland,2012,76.04,2.58289503773154,31541.73,0.0,74.12541825031487,1.03,-13.453221033462315,1.2275656362496834,
IS,Iceland,2012,80.57,3.44071217725093,27158.87,0.0,77.89002831103792,1.03,6.913481953290868,8.760598192160241,North Europe
IT,Italy,2012,116.7,1.54728153409982,20327.68,0.01,114.92183565821195,1.02,-2.506265664160401,1.7217100805559715,South Europe
LT,Lithuania,2012,89.56,2.73485071179608,5635.73,0.02,87.17587009616072,1.03,-0.23393115740224513,4.3402514209542,
LU,Luxembourg,2012,86.58,2.55597762803749,37354.34,0.0,84.42218776756133,1.03,4.200264773137552,2.966212537815349,
LV,Latvia,2012,91.36,3.59833444227425,5462.67,0.02,88.18674594706584,1.04,2.9640482362222498,3.3334279147632095,
MT,Malta,2012,92.54,2.14609698531127,15999.95,0.01,90.5957278165091,1.02,3.0512249443207295,2.28204746285392,
NL,Netherlands,2012,101.86,1.44799667843055,31732.71,0.0,100.40612267867193,1.01,-6.713068962359192,0.3812135820980389,West Europe
NO,Norway,2012,87.48,3.34307079775775,47783.08,0.0,84.65008763983629,1.03,6.748017083587565,7.401408580500246,North Europe
PL,Poland,2012,102.01,2.36125294375092,7235.5,0.01,99.65684970274452,1.02,-3.4910122989593173,2.113396605863871,East Europe
PT,Portugal,2012,94.87,-0.388496253405989,12253.01,0.01,95.24000384668811,1.0,-7.0721912038397505,2.039030126180874,South Europe
SE,Sweden,2012,76.83,1.00105069911903,33473.42,0.0,76.06851559284833,1.01,1.265322261763524,6.876805377330442,North Europe
SI,Slovenia,2012,112.09,0.479018210609654,11707.47,0.01,111.55562822583823,1.0,-6.8942603206246345,1.206965857959763,
AT,Austria,2013,92.1,1.62309726899012,27520.54,0.0,90.62900312535932,1.02,5.173004453579999,2.3332413641288907,West Europe
